Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,region != West AND bureau_score < 645.5 AND dti >= 40.32 AND age >= 43.5,0.244,0.09022312744731553,0.08786032822222867,0.11765052679624208,0.022014,0.0,True
2,bureau_score >= 645.5 AND dti >= 42.41 AND age >= 38.5 AND age < 48.5,0.0582,0.15187551082422868,0.12002454001276092,0.03592399826510527,0.008839,0.0,True
3,bureau_score < 645.5 AND dti >= 40.32 AND dti < 55.39 AND age < 43.5,0.0784,0.09242452496997955,0.05224157660521295,0.06385197130623366,0.007246,0.0,True
4,region != North AND bureau_score < 645.5 AND dti < 40.32 AND age < 50.5,0.0908,0.03774484518642085,0.0004982873678616162,0.05346028136990197,0.003427,0.0,True
