Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Leaf_ID,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Technique
367,392,0.0734,0.0784,117,150,0.0003294999586794597,0.3188010899182561,0.3826530612244898,0.06385197130623366,0.0656344228844219,0.6571623931623932,0.703374655647383,0.046212262484989775,0.31432478632478644,0.406749311294766,0.09242452496997955,0.24902564102564106,0.301267217630854,0.05224157660521295,4.522849626880405e-06,53563660.28,55992411.129999995,0.06861012189592568,0.06762311352267085,-0.0009870083732548274,0.13123675094391266,0.009699451797067599,0.02617838900223024,bureau_score,0.25770566114381677,0.239916,"[{""feature"": ""bureau_score"", ""psi"": 0.25770566114381677}, {""feature"": ""region"", ""psi"": 0.2247761259603248}, {""feature"": ""dti"", ""psi"": 0.08895287851453185}, {""feature"": ""employment_type"", ""psi"": 0.07614863148095373}, {""feature"": ""utilization"", ""psi"": 0.07161425121170438}, {""feature"": ""age"", ""psi"": 0.0682229573521445}]",shap_region,0.24807827181086828,11,bureau_score < 645.5 AND dti >= 40.32 AND dti < 55.39 AND age < 43.5,0.08751256384589585,6.030466169173873e-06,True,0.0053,0.0,0.0,0.0,1.0,Population Share: Stable,4.7983,0.007246,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,Drift Localization Tree
620,454,0.124,0.0908,128,118,0.010345859695926598,0.2064516129032258,0.2599118942731278,0.05346028136990197,0.03944063187561331,0.6390926702235773,0.6579650928167877,0.018872422593210425,0.2781853404471546,0.31593018563357544,0.03774484518642085,0.24390243902439024,0.24440072639225185,0.0004982873678616162,8.809431734228263e-06,93517925.5,68368183.38,0.11978786054702938,0.0825695720677303,-0.037218288479299075,0.12423083441696149,0.010282073445123396,0.04316480988775728,bureau_score,0.17833601138459734,0.21619,"[{""feature"": ""bureau_score"", ""psi"": 0.17833601138459734}, {""feature"": ""region"", ""psi"": 0.14353741883695115}, {""feature"": ""age"", ""psi"": 0.13839834253926606}, {""feature"": ""dti"", ""psi"": 0.13813118559938295}, {""feature"": ""employment_type"", ""psi"": 0.13096079597013793}, {""feature"": ""utilization"", ""psi"": 0.01602125217143348}]",shap_bureau_score,0.17283734115664182,4,region != North AND bureau_score < 645.5 AND dti < 40.32 AND age < 50.5,0.07888126375122662,8.809431734228263e-06,True,0.0076,0.0,0.0,0.0,1.0,Population Share: Stable,4.3238,0.003427,Segment performance stable,2,Drift Localization Tree
412,291,0.0824,0.0582,39,38,0.008414341988708418,0.09466019417475728,0.13058419243986255,0.03592399826510527,0.13304801452709847,0.6436378634770057,0.71957561888912,0.07593775541211434,0.2872757269540114,0.43915123777824006,0.15187551082422868,0.2807451708255998,0.4007697108383607,0.12002454001276092,5.294415383990176e-07,61948922.13,41652788.87,0.07935087102789959,0.05030487549021987,-0.029045995537679718,0.14125785872017455,0.00498608400338082,0.0855120579894183,region,0.2397937940555565,0.2,"[{""feature"": ""region"", ""psi"": 0.2397937940555565}, {""feature"": ""dti"", ""psi"": 0.22259899752384216}, {""feature"": ""bureau_score"", ""psi"": 0.2029493914695421}, {""feature"": ""employment_type"", ""psi"": 0.07106803543857539}, {""feature"": ""age"", ""psi"": 0.06638066923486129}, {""feature"": ""utilization"", ""psi"": 0.044756264598669764}]",shap_dti,0.19928917602830054,25,bureau_score >= 645.5 AND dti >= 42.41 AND age >= 38.5 AND age < 48.5,0.13304801452709847,1.0588830767980352e-06,True,0.003,0.0,0.0,0.0,1.0,Population Share: Stable,4.0,0.008839,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",3,Drift Localization Tree
431,1220,0.0862,0.244,74,353,0.1641905919149969,0.1716937354988399,0.289344262295082,0.11765052679624208,1.6274020107065468e-06,0.6416269210386858,0.6867384847623436,0.045111563723657766,0.2832538420773716,0.3734769695246871,0.09022312744731553,0.21000832765538652,0.2978686558776152,0.08786032822222867,6.782447480625676e-11,72547168.82000001,212525118.28000003,0.09292625018389612,0.2566706792908115,0.1637444291069154,0.10101239564963195,0.012866578455238165,0.30695223504067115,dti,0.21957743435137383,0.15,"[{""feature"": ""dti"", ""psi"": 0.21957743435137383}, {""feature"": ""bureau_score"", ""psi"": 0.1797410397898135}, {""feature"": ""age"", ""psi"": 0.14991036249015677}, {""feature"": ""utilization"", ""psi"": 0.022197448607866845}, {""feature"": ""employment_type"", ""psi"": 0.017561774551325654}, {""feature"": ""region"", ""psi"": 0.017086314107255023}]",shap_dti,0.2658584713484694,14,region != West AND bureau_score < 645.5 AND dti >= 40.32 AND age >= 43.5,6.509608042826187e-06,2.7129789922502703e-10,True,0.0729,0.0,0.0,0.0,1.0,Population Share: Moderate Drift,3.0,0.022014,"Population shift (Dev 8.6% -> Mon 24.4%, PSI 0.1642) | Significant bad-rate shift (Dev 17.17% -> Mon 28.93%, p_adj=0.0000)",4,Drift Localization Tree
