Technique,Top_Segment_Definition,Segments_Generated,Top_Segment_Pop_Pct,Top_Segment_Exp_Pct,Max_PSI,Max_Gini_Drop,Max_KS_Drop,Max_BR_Shift_Pct,Exposure_Drift,Calibration_Drift,Root_Cause_Feature,Root_Cause_Score,Business_Impact_Score,Top_Segment_EAD,Execution_Time_Sec,Deterministic,Explainability,Overall_Score_100,Severity_Rank
Drift Localization Tree,bureau_score < 645.5 AND dti >= 40.32 AND dti < 55.39 AND age < 43.5,4,7.84,6.76,0.1642,0.0,0.0,11.77%,-0.001,0.0262,bureau_score,0.2399,0.0053,"$55,992,411",1.275,Yes,High,10.1,4
K-Means Clustering,Cluster_6: utilization < 58.66 AND age < 37.5 AND dti < 55.14 AND bureau_score < 738.5,6,4.88,4.12,0.0951,0.0501,0.0166,13.01%,-0.0762,0.1886,bureau_score,0.383,0.0023,"$34,107,478",18.0811,Yes*,Medium,4.1,5
AutoSlicer,employment_type = SelfEmployed,10,23.96,24.31,0.0922,0.1256,0.1142,24.19%,0.1234,0.6245,dti,0.9017,0.0661,"$201,252,538",19.0796,Yes,Medium,22.8,3
Feature Binning,employment_type = SelfEmployed,20,23.96,24.31,0.1511,0.6029,0.6442,28.12%,0.1234,1.0593,employment_type,0.782,0.2431,"$201,252,538",104.8501,Yes,High,78.2,1
Gradient Boosting,bureau_score < 642.5 AND dti >= 42.43 AND age >= 49.5,10,24.02,26.36,0.3084,0.0935,0.1318,24.68%,0.2081,0.4484,dti,0.7496,0.0863,"$218,291,731",25.1203,Yes,Medium,53.3,2
